ID,x,y,Gmag,e_Gmag,VI,BV,VIerr,BVerr,MP,sel
265,685.619,1083.15,16.3343,0.0006,1.29,1.112,0.012,0.014,0.86,1
271,1032.85,1216.12,16.3981,0.0007,1.38,1.191,0.012,0.016,0.86,1
291,936.379,1942.7,16.4475,0.001,1.919,1.636,0.02,0.031,0.86,1
325,1106.11,1920.3,16.6271,0.0008,1.278,1.066,0.015,0.019,0.86,1
420,667.347,1827.69,17.0218,0.0011,1.274,1.165,0.018,0.025,0.86,1
426,541.758,1604.39,17.0737,0.0011,1.675,1.408,0.02,0.036,0.86,1
435,1411.11,1774.33,17.105,0.001,1.314,1.169,0.023,0.029,0.86,1
241,929.017,1930.89,16.1658,0.0007,1.141,0.994,0.036,0.031,0.855,1
214,767.066,1207.26,16.0706,0.0007,1.239,1.033,0.01,0.012,0.85,1
216,1000.11,1258.2,16.0982,0.0007,1.286,1.073,0.009,0.013,0.85,1
223,1287.93,1051.22,16.1497,0.0007,1.244,1.012,0.011,0.013,0.85,1
236,1274.89,1098.0,16.2111,0.0008,1.332,1.106,0.01,0.013,0.85,1
260,980.274,1401.45,16.3436,0.0007,1.189,0.999,0.011,0.015,0.85,1
261,671.237,1559.71,16.3662,0.0007,1.153,0.998,0.04,0.048,0.85,1
273,1291.35,1528.68,16.376,0.0009,1.326,1.056,0.024,0.015,0.85,1
269,812.241,1289.36,16.4386,0.0008,1.121,0.99,0.029,0.023,0.85,1
288,1384.53,1387.96,16.4526,0.0009,1.134,1.0,0.017,0.022,0.85,1
282,774.489,1259.92,16.4648,0.0011,1.345,1.146,0.013,0.017,0.85,1
300,1418.79,923.561,16.5299,0.0007,1.244,1.078,0.016,0.02,0.85,1
316,744.092,1739.63,16.6233,0.0008,1.555,1.26,0.017,0.027,0.85,1
329,1548.4,1697.04,16.6449,0.0008,1.204,1.009,0.013,0.016,0.85,1
375,1495.47,1527.96,16.8546,0.001,1.555,1.267,0.017,0.025,0.85,1
387,885.583,803.879,16.9011,0.001,1.548,1.343,0.022,0.033,0.85,1
541,1206.34,1946.3,17.4652,0.0013,1.659,1.442,0.027,0.054,0.85,1
