ID,x,y,Gmag,e_Gmag,BV,UB,BVerr,UBerr,MP,sel
1021,1130.05,1119.44,18.0821,0.0013,1.121,nan,0.051,nan,0.96,-1
1020,1432.45,1384.78,17.9014,0.0012,1.377,nan,0.061,nan,0.7,-1
1022,722.604,1454.35,18.0302,0.0014,1.163,nan,0.049,nan,0.98,-1
1025,1225.4,1528.9,17.8718,0.0011,1.339,nan,0.056,nan,0.48,-1
1035,1447.62,1167.41,18.0327,0.0013,1.221,nan,0.055,nan,0.84,-1
1041,1185.52,1208.09,18.0466,0.0013,1.227,nan,0.057,nan,1.0,-1
1042,1022.11,1533.34,18.055,0.0013,1.067,nan,0.051,nan,0.89,-1
1043,1371.96,1069.32,18.0868,0.0014,1.102,nan,0.053,nan,0.98,-1
1048,961.157,947.929,18.1153,0.0014,1.169,nan,0.058,nan,0.77,-1
1050,1078.18,1252.31,18.1226,0.0017,1.183,nan,0.059,nan,0.93,-1
1051,892.313,1112.07,18.0364,0.0014,1.229,nan,0.055,nan,0.92,-1
1052,925.362,1666.98,18.1091,0.0014,1.006,nan,0.054,nan,0.56,-1
1058,779.555,1609.17,18.3146,0.0021,1.183,nan,0.067,nan,0.5,-1
1059,960.524,1541.97,18.1312,0.0014,1.068,nan,0.058,nan,0.8,-1
1060,1268.97,1418.64,18.1179,0.0013,1.137,nan,0.064,nan,0.97,-1
1061,848.788,1210.92,18.2032,0.0018,1.099,nan,0.055,nan,0.92,-1
1065,898.401,1447.9,18.1973,0.0015,1.17,nan,0.061,nan,0.94,-1
1066,974.502,1454.31,18.1083,0.0015,1.271,nan,0.067,nan,0.97,-1
1068,1299.57,1170.95,18.211,0.0022,1.15,nan,0.059,nan,0.87,-1
1073,941.044,1572.11,18.1886,0.0013,1.183,nan,0.063,nan,0.98,-1
1089,1100.73,1243.42,18.1164,0.0014,1.288,nan,0.065,nan,0.56,-1
1093,1131.06,1696.07,18.2534,0.0014,1.063,nan,0.064,nan,0.93,-1
1098,1171.21,1272.96,18.2268,0.0014,1.32,nan,0.069,nan,0.92,-1
1100,1099.35,1577.49,18.1989,0.0014,1.229,nan,0.068,nan,0.93,-1
1106,912.439,1396.49,17.9854,0.0012,1.335,nan,0.07,nan,0.74,-1
1108,751.012,1531.92,18.2262,0.0015,1.227,nan,0.071,nan,0.99,-1
1112,1078.94,1380.31,18.065,0.0014,1.365,nan,0.079,nan,0.97,-1
1114,1013.15,1267.1,18.2822,0.0016,1.324,nan,0.071,nan,0.94,-1
1115,1092.6,1599.77,18.2593,0.0015,1.142,nan,0.064,nan,0.88,-1
1121,1219.04,1364.55,18.1844,0.0013,1.451,nan,0.066,nan,0.9,-1
1122,1401.37,1385.35,18.1775,0.0014,1.357,nan,0.073,nan,0.59,-1
1127,1265.16,1065.26,18.3363,0.0023,1.316,nan,0.082,nan,0.82,-1
1131,1350.48,1551.47,18.2686,0.0014,1.163,nan,0.067,nan,0.63,-1
1135,1052.92,994.303,18.3854,0.0018,1.296,nan,0.073,nan,0.78,-1
1138,1511.92,1364.74,18.2347,0.0014,1.295,nan,0.074,nan,0.98,-1
1139,744.668,1541.71,18.2071,0.0013,1.152,nan,0.072,nan,0.97,-1
1141,943.242,1617.48,18.2175,0.0016,1.437,nan,0.082,nan,0.65,-1
1149,1346.7,1479.49,18.5128,0.0017,1.239,nan,0.072,nan,0.91,-1
1151,1159.86,1012.47,18.4331,0.002,1.188,nan,0.073,nan,0.91,-1
1153,1411.12,1165.09,18.3937,0.0016,1.254,nan,0.077,nan,0.98,-1
1154,953.965,1644.95,18.2978,0.0016,1.147,nan,0.074,nan,0.63,-1
1156,1133.25,1475.44,18.2171,0.0015,1.275,nan,0.081,nan,0.86,-1
1163,1109.79,1350.25,18.1879,0.0015,1.36,nan,0.088,nan,0.65,-1
1164,1002.78,1665.37,18.2939,0.0015,1.164,nan,0.077,nan,0.99,-1
1172,1201.27,1052.99,18.5044,0.0018,1.423,nan,0.092,nan,0.86,-1
1173,1066.36,1178.31,18.5195,0.0019,1.433,nan,0.099,nan,0.72,-1
1174,1132.0,1023.48,18.4932,0.0017,1.146,nan,0.082,nan,0.97,-1
1177,1307.4,1649.56,18.5265,0.0018,1.087,nan,0.08,nan,0.3,-1
1178,1206.12,1067.26,18.5621,0.0017,1.405,nan,0.094,nan,0.91,-1
1180,1150.79,1393.94,18.4838,0.0015,1.319,nan,0.095,nan,0.97,-1
1182,1065.03,1141.49,18.6127,0.0021,1.131,nan,0.084,nan,0.72,-1
1185,1099.89,1044.29,18.5083,0.0017,1.184,nan,0.083,nan,0.99,-1
1188,1085.98,1047.54,18.5451,0.0018,1.184,nan,0.096,nan,0.96,-1
1189,978.609,1285.34,18.4777,0.0018,1.006,nan,0.071,nan,0.95,-1
1199,1259.48,1381.26,18.6236,0.0018,1.214,nan,0.098,nan,0.88,-1
437,758.579,1255.52,16.6607,0.0009,1.026,nan,0.017,nan,0.99,-1
529,1336.83,1378.08,16.9829,0.0009,1.046,nan,0.025,nan,1.0,-1
711,762.36,1243.05,17.4492,0.0012,1.106,nan,0.033,nan,0.76,-1
772,715.0,1224.74,17.5081,0.0011,1.135,nan,0.034,nan,0.99,-1
854,1391.33,1409.28,17.7469,0.0013,1.297,nan,0.043,nan,0.94,-1
984,1058.91,1544.43,17.9656,0.0015,0.998,nan,0.052,nan,0.91,-1
1012,1383.88,1341.02,17.8376,0.0011,1.35,nan,0.055,nan,0.97,-1
389,1239.39,1340.57,16.2117,0.0048,1.153,nan,0.036,nan,0.48,-1
1039,1287.27,1481.84,18.086,0.0013,1.176,nan,0.057,nan,0.99,-1
1144,1108.33,1285.18,18.3632,0.0018,1.234,nan,0.063,nan,0.93,-1
408,962.394,1588.52,16.6417,0.0007,0.877,nan,0.015,nan,0.94,-1
