ID,x,y,V,Verr,BV,BVerr,UB,UBerr,VR,VRerr,VI,VIerr,ra,dec
824,1450.28,1144.12,18.041,0.021,0.926,0.032,99.0,99.0,0.602,0.023,1.143,0.031,154.25631224588298,-58.718326172102465
825,297.566,1393.78,18.042,0.02,1.013,0.033,99.0,99.0,0.622,0.022,1.269,0.028,154.43893547292998,-58.69667785891255
826,745.657,1379.18,18.045,0.02,0.957,0.031,99.0,99.0,0.522,0.023,0.982,0.029,154.36791711346635,-58.69831159310272
827,1396.81,1684.11,18.048,0.019,1.024,0.036,99.0,99.0,0.608,0.021,1.152,0.027,154.26402551881552,-58.67366768193723
828,1849.05,161.881,18.049,0.03,2.737,0.108,99.0,99.0,1.531,0.03,3.017,0.032,154.19362837092118,-58.799839523056306
829,1526.92,715.279,18.05,0.025,1.033,0.044,99.0,99.0,0.575,0.028,1.112,0.032,154.24460594816654,-58.7538325373078
830,481.556,1188.69,18.054,0.021,1.765,0.051,99.0,99.0,1.054,0.021,2.048,0.023,154.410162374899,-58.713797379889726
831,280.705,210.404,18.056,0.021,1.015,0.037,99.0,99.0,0.573,0.024,1.063,0.034,154.44365083387302,-58.79442224930233
832,389.967,1117.51,18.058,0.031,1.06,0.048,99.0,99.0,0.682,0.041,1.326,0.058,154.42482184014173,-58.71958673704884
833,1391.59,709.918,18.059,0.018,0.975,0.03,99.0,99.0,0.534,0.024,1.012,0.028,154.26617939450608,-58.75416847258394
834,1578.14,969.008,18.062,0.018,1.015,0.038,99.0,99.0,0.655,0.021,1.276,0.024,154.23616824087458,-58.73289733291631
835,1977.55,1226.79,18.063,0.021,0.989,0.037,99.0,99.0,0.562,0.032,1.023,0.029,154.17224522873852,-58.711872898260246
836,701.966,479.701,18.064,0.019,1.12,0.043,99.0,99.0,0.717,0.023,1.421,0.024,154.37626660945935,-58.77258939244686
837,1226.08,735.16,18.066,0.025,1.115,0.047,99.0,99.0,0.658,0.028,1.262,0.032,154.2925146581973,-58.75194574243111
838,1340.6,1150.76,18.068,0.02,1.046,0.036,99.0,99.0,0.666,0.022,1.257,0.027,154.2737549540154,-58.717691155447795
839,698.193,409.619,18.07,0.02,1.344,0.044,99.0,99.0,0.866,0.022,1.822,0.024,154.3769594166139,-58.778378132227914
840,1877.71,100.0,18.076,0.021,1.074,0.039,99.0,99.0,0.662,0.027,1.453,0.043,154.1890801200092,-58.804979382770945
