ID,x,y,V,Verr,BV,BVerr,UB,UBerr,VR,VRerr,VI,VIerr,ra,dec
119,1181.5,1405.91,14.498,0.005,0.378,0.007,0.058,0.007,0.348,0.008,0.628,0.011,155.95589211652813,-60.13007893356688
120,1308.32,1344.85,14.501,0.004,0.404,0.006,-0.074,0.007,0.334,0.007,0.635,0.009,155.93495376755064,-60.13525615422572
121,1151.48,1251.84,14.502,0.003,0.335,0.005,-0.084,0.006,0.295,0.006,0.544,0.007,155.96108817243368,-60.14276247435444
122,59.14,662.836,14.506,0.009,0.34,0.012,0.247,0.011,0.235,0.014,0.504,0.015,156.14311020078978,-60.1904590270094
123,1080.86,1551.58,14.507,0.008,0.38,0.01,-0.177,0.007,0.321,0.011,0.607,0.014,155.97235430050281,-60.117939598580655
124,186.066,27.735,14.514,0.017,1.178,0.022,0.894,0.026,0.697,0.02,1.39,0.022,156.12333486546956,-60.242889207055946
125,1988.47,399.016,14.52,0.013,1.215,0.018,0.943,0.029,0.778,0.015,1.436,0.018,155.82301951175958,-60.21380866932013
126,1109.93,331.398,14.531,0.012,1.542,0.016,1.388,0.05,0.952,0.015,1.779,0.018,155.9693284939546,-60.21853338316733
127,1346.81,1559.19,14.543,0.017,0.243,0.026,-0.286,0.028,0.276,0.027,0.494,0.038,155.9282861539175,-60.117609072136055
128,1609.14,1004.19,14.552,0.008,1.408,0.012,1.313,0.04,0.821,0.01,1.488,0.011,155.88546082986878,-60.16366208461901
129,287.738,192.722,14.556,0.01,0.443,0.015,0.287,0.014,0.304,0.015,0.571,0.019,156.106138467027,-60.22936176393117
130,887.802,447.809,14.56,0.011,1.45,0.015,1.563,0.049,0.824,0.014,1.51,0.017,156.00606265985567,-60.20877719538071
131,238.124,1276.04,14.565,0.007,0.67,0.009,0.0,0.009,0.451,0.01,0.816,0.012,156.1122809589967,-60.13991657736207
132,300.428,1536.38,14.6,0.009,0.328,0.011,-0.05,0.009,0.277,0.012,0.524,0.016,156.10148680605906,-60.1184261382275
133,46.658,912.098,14.609,0.009,1.451,0.012,99.0,99.0,0.852,0.012,1.586,0.013,156.14467129074652,-60.169862441358895
134,1444.91,1733.47,14.616,0.012,0.329,0.016,-0.199,0.011,0.277,0.016,0.525,0.019,155.9118048858663,-60.103332874461444
135,335.197,511.183,14.63,0.016,0.288,0.022,-0.001,0.016,0.213,0.025,0.437,0.027,156.09766069317848,-60.20315105104106
136,192.277,1969.14,14.658,0.014,1.381,0.018,1.205,0.04,0.816,0.018,1.54,0.022,156.1185204682786,-60.08246380069248
137,28.292,1715.76,14.668,0.014,1.341,0.018,99.0,99.0,0.811,0.019,1.508,0.023,156.1460799176692,-60.10332737739993
138,747.767,239.711,14.676,0.013,0.534,0.018,0.059,0.014,0.382,0.017,0.717,0.019,156.02966513946984,-60.22579461539239
139,1030.99,545.026,14.693,0.012,1.198,0.016,0.759,0.026,0.731,0.015,1.364,0.017,155.9821273494363,-60.20089400834245
140,690.425,1643.24,14.697,0.009,0.486,0.012,-0.106,0.009,0.365,0.012,0.635,0.016,156.03682355286026,-60.109952180366435
141,644.916,919.583,14.702,0.009,0.532,0.012,0.341,0.013,0.39,0.012,0.735,0.014,156.0455823468731,-60.16970116045438
142,479.926,1444.42,14.702,0.008,1.384,0.011,1.327,0.038,0.81,0.011,1.491,0.013,156.07198038141948,-60.126197699070154
143,1340.84,1373.74,14.715,0.005,0.367,0.007,-0.023,0.008,0.325,0.008,0.605,0.011,155.92952266343147,-60.13290853058573
144,911.379,965.426,14.721,0.009,0.664,0.013,-0.014,0.012,0.464,0.012,0.825,0.015,156.0013309695011,-60.16615341921412
145,1525.76,1646.46,14.726,0.008,1.135,0.01,0.54,0.02,0.753,0.011,1.384,0.015,155.89851594491196,-60.11061640285951
146,1406.31,1853.66,14.743,0.011,0.352,0.015,0.259,0.013,0.285,0.015,0.488,0.019,155.91804425045362,-60.09335494524934
