ID,x,y,V,Verr,BV,BVerr,UB,UBerr,VR,VRerr,VI,VIerr,ra,dec
67,150.889,538.16,14.518,0.008,1.282,0.012,0.786,0.023,0.749,0.012,1.554,0.014,150.49262215946905,-55.17662717487778
68,2016.06,1326.1,14.526,0.004,0.456,0.006,-0.041,0.009,0.413,0.007,0.796,0.008,150.222016420277,-55.112908153977784
69,1525.59,991.066,14.54,0.008,1.248,0.014,0.804,0.026,0.795,0.012,1.592,0.013,150.2933671564217,-55.14040840290268
70,308.452,756.848,14.552,0.007,0.863,0.01,0.268,0.016,0.515,0.011,1.033,0.013,150.46953416009686,-55.15875765598688
71,891.316,1873.56,14.602,0.006,0.654,0.008,-0.041,0.008,0.403,0.008,0.768,0.012,150.38347467801597,-55.067162883341396
72,635.262,105.7,14.609,0.009,0.425,0.012,0.311,0.012,0.219,0.013,0.485,0.015,150.42322265790668,-55.21288841133944
73,397.714,1481.37,14.632,0.005,0.912,0.007,0.361,0.014,0.551,0.007,1.122,0.01,150.45546006754466,-55.09903692485793
74,1721.49,1261.49,14.64,0.003,0.633,0.006,0.326,0.01,0.412,0.007,0.861,0.007,150.26465501991134,-55.11816727019867
75,1525.11,1439.97,14.641,0.004,0.586,0.006,0.288,0.009,0.373,0.007,0.763,0.007,150.29272097642271,-55.10336164516897
77,1430.84,1669.49,14.688,0.006,0.97,0.008,-0.056,0.01,0.638,0.009,1.334,0.013,150.30594057209882,-55.08437645952448
78,1443.1,1470.0,14.694,0.005,0.744,0.007,0.177,0.01,0.467,0.007,0.874,0.007,150.30451278224743,-55.10084382496372
79,1176.43,213.805,14.722,0.008,0.462,0.012,0.351,0.013,0.263,0.013,0.562,0.013,150.34489191863037,-55.204389543035596
80,1642.01,1374.91,14.726,0.005,0.694,0.01,0.022,0.011,0.436,0.008,0.827,0.008,150.27594839839307,-55.108779608709675
81,956.72,1294.24,14.759,0.004,2.094,0.006,98.88,99.0,1.19,0.006,2.381,0.006,150.37504427619942,-55.115030210463225
82,1505.05,1436.0,14.797,0.004,1.982,0.007,98.88,99.0,1.129,0.007,2.22,0.007,150.29562423980587,-55.103679900818776
83,1742.49,990.913,14.855,0.008,0.69,0.014,0.006,0.014,0.444,0.012,0.837,0.015,150.26204240904093,-55.14050287053106
952,618.822,1993.73,18.364,0.023,1.059,0.05,98.88,99.0,0.72,0.027,1.43,0.034,150.42259469638628,-55.056987620960946
85,1837.23,326.452,14.863,0.008,0.712,0.012,0.452,0.021,0.422,0.013,0.844,0.015,150.2492844646841,-55.19537297653054
86,1440.78,1004.48,14.923,0.003,0.922,0.006,0.663,0.019,0.589,0.006,1.236,0.006,150.30559539306003,-55.13926140657825
87,1024.21,1635.98,14.937,0.005,1.327,0.007,0.881,0.035,0.751,0.006,1.454,0.01,150.3647144086382,-55.086877766952824
88,1692.81,747.216,14.965,0.007,0.771,0.01,0.046,0.016,0.489,0.012,0.953,0.013,150.2695751530304,-55.16060013416584
89,1880.41,1723.0,14.968,0.006,0.969,0.008,0.615,0.024,0.619,0.009,1.291,0.01,150.24093812327777,-55.08013647165441
90,33.015,301.557,14.977,0.009,0.5,0.014,0.302,0.015,0.239,0.015,0.566,0.015,150.5099883935368,-55.19601927651465
91,1749.68,521.013,14.984,0.01,1.396,0.015,0.871,0.057,0.863,0.015,1.733,0.017,150.2616751439807,-55.17928936856955
92,766.801,239.644,14.988,0.007,2.056,0.012,98.88,99.0,1.156,0.011,2.341,0.014,150.40404278084785,-55.20194596264655
