radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
143.455113,0.042,-50.204886,0.184,NA,NA,0,NA,NA,0,NA,NA,0,17.456,0.081,1,16.637,0.103,1,NA,NA,0,NA,NA,0,NA,NA,0
143.455213,0.335,-50.512895,0.276,16.174,0.031,5,17.125,0.104,5,NA,NA,0,16.683,0.068,6,15.923,0.096,6,15.619,0.165,4,NA,NA,0,NA,NA,0
143.455239,0.92,-49.865926,0.459,NA,NA,0,NA,NA,0,NA,NA,0,18.119,0.172,1,17.022,0.173,1,NA,NA,0,NA,NA,0,NA,NA,0
143.455463,0.662,-50.443554,0.79,16.207,0.116,5,17.224,0.126,5,NA,NA,0,16.756,0.046,7,15.819,0.113,7,15.426,0.137,5,NA,NA,0,NA,NA,0
143.455729,0.344,-50.558231,0.437,14.324,0.04,6,15.177,0.04,6,NA,NA,0,14.73,0.031,6,14.049,0.033,6,13.777,0.056,6,13.647,0.063,3,NA,NA,0
143.456278,0.413,-50.217236,0.27,17.067,0.145,1,17.876,0.185,1,NA,NA,0,17.465,0.083,4,16.558,0.093,4,16.224,0.149,3,NA,NA,0,NA,NA,0
143.456448,0.368,-50.052432,0.533,13.004,0.053,6,13.656,0.036,6,NA,NA,0,13.315,0.022,5,12.817,0.028,5,12.632,0.057,5,12.723,0.1,1,NA,NA,0
143.456496,0.316,-49.926276,0.197,16.966,0.055,2,17.552,0.092,2,NA,NA,0,17.362,0.062,4,16.563,0.15,4,16.327,0.208,1,NA,NA,0,NA,NA,0
143.456703,0.508,-49.820369,0.381,16.803,0.082,5,17.6,0.061,5,NA,NA,0,17.231,0.112,5,16.569,0.084,5,16.28,0.182,1,NA,NA,0,NA,NA,0
143.456753,0.511,-50.486021,0.409,NA,NA,0,NA,NA,0,NA,NA,0,18.175,0.013,2,17.111,0.104,2,NA,NA,0,NA,NA,0,NA,NA,0
143.45704,0.473,-50.335491,0.313,14.713,0.035,6,16.352,0.031,6,NA,NA,0,15.508,0.026,6,14.137,0.029,6,13.506,0.058,6,13.084,0.181,1,NA,NA,0
143.457188,0.407,-50.040924,0.269,NA,NA,0,NA,NA,0,NA,NA,0,18.277,0.076,2,17.272,0.024,2,NA,NA,0,NA,NA,0,NA,NA,0
143.457397,0.474,-50.078216,0.33,15.192,0.036,6,16.087,0.057,6,NA,NA,0,15.646,0.02,6,14.919,0.031,6,14.643,0.104,6,NA,NA,0,NA,NA,0
143.457514,1.002,-50.565927,0.427,NA,NA,0,NA,NA,0,NA,NA,0,17.353,0.008,2,16.645,0.065,2,NA,NA,0,NA,NA,0,NA,NA,0
143.457561,0.144,-50.352356,0.015,17.633,0.25,1,18.247,0.267,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
143.457594,0.543,-49.981015,0.341,16.761,0.116,3,17.679,0.064,3,NA,NA,0,17.249,0.081,6,16.385,0.106,6,15.949,0.09,5,NA,NA,0,NA,NA,0
143.457659,0.337,-50.431715,0.244,16.362,0.159,6,17.37,0.123,6,NA,NA,0,16.834,0.097,6,15.99,0.077,6,15.658,0.04,3,NA,NA,0,NA,NA,0
143.457842,0.219,-50.114128,0.021,NA,NA,0,NA,NA,0,NA,NA,0,17.915,0.161,1,17.023,0.175,1,NA,NA,0,NA,NA,0,NA,NA,0
143.457935,0.524,-50.59448,0.356,NA,NA,0,NA,NA,0,NA,NA,0,18.297,0.206,1,16.728,0.115,1,16.041,0.167,1,NA,NA,0,NA,NA,0
143.458272,0.416,-50.284792,0.052,NA,NA,0,NA,NA,0,NA,NA,0,18.147,0.211,1,17.73,0.362,1,NA,NA,0,NA,NA,0,NA,NA,0
143.458331,0.289,-49.908713,0.441,15.343,0.03,6,17.138,0.107,6,NA,NA,0,16.229,0.034,6,14.693,0.05,6,13.951,0.037,6,NA,NA,0,NA,NA,0
143.458759,0.43,-50.02208,0.344,15.694,0.066,6,16.742,0.096,6,NA,NA,0,16.208,0.013,5,15.297,0.068,5,14.879,0.017,5,NA,NA,0,NA,NA,0
143.458851,0.469,-50.203521,0.241,16.789,0.111,1,17.776,0.169,1,NA,NA,0,17.373,0.078,1,16.5,0.093,1,16.192,0.199,1,NA,NA,0,NA,NA,0
143.459064,0.523,-50.453201,0.167,NA,NA,0,NA,NA,0,NA,NA,0,18.235,0.176,1,17.002,0.187,1,NA,NA,0,NA,NA,0,NA,NA,0
143.459101,0.428,-50.29509,0.3,16.142,0.073,1,17.741,0.165,1,NA,NA,0,17.025,0.031,6,15.462,0.059,6,14.778,0.049,6,NA,NA,0,NA,NA,0
143.459222,0.329,-49.95963,0.369,16.867,0.05,2,18.145,0.215,2,NA,NA,0,17.501,0.074,5,16.515,0.055,5,16.304,0.159,4,NA,NA,0,NA,NA,0
143.459377,0.437,-49.82962,0.112,NA,NA,0,NA,NA,0,NA,NA,0,18.475,0.2,1,17.343,0.18,1,NA,NA,0,NA,NA,0,NA,NA,0
143.459793,0.297,-50.394489,0.205,15.469,0.052,6,16.37,0.087,6,NA,NA,0,15.91,0.032,6,15.227,0.037,6,14.943,0.061,6,NA,NA,0,NA,NA,0
143.459938,0.68,-49.91966,0.45,NA,NA,0,NA,NA,0,NA,NA,0,17.413,0.053,3,15.972,0.031,3,15.276,0.068,3,NA,NA,0,NA,NA,0
143.459959,0.166,-49.878938,0.251,14.409,0.036,6,15.411,0.043,6,NA,NA,0,14.905,0.023,6,14.126,0.055,6,13.773,0.027,6,NA,NA,0,NA,NA,0
143.460355,0.478,-50.246507,0.296,17.622,0.245,1,18.436,0.306,1,NA,NA,0,17.919,0.14,1,17.283,0.203,1,NA,NA,0,NA,NA,0,NA,NA,0
143.460417,0.381,-50.345581,0.502,15.809,0.037,6,16.836,0.046,6,NA,NA,0,16.256,0.043,6,15.5,0.054,6,15.187,0.118,6,NA,NA,0,NA,NA,0
143.460519,0.625,-50.525771,0.325,17.224,0.169,1,17.933,0.223,1,NA,NA,0,17.871,0.142,3,16.744,0.064,3,15.891,0.12,2,NA,NA,0,NA,NA,0
143.460521,0.492,-49.845814,0.401,16.684,0.156,5,17.706,0.176,5,NA,NA,0,17.164,0.048,6,16.247,0.1,6,15.849,0.201,5,NA,NA,0,NA,NA,0
143.460798,0.203,-50.302104,0.167,NA,NA,0,NA,NA,0,NA,NA,0,17.745,0.139,1,16.698,0.133,1,NA,NA,0,NA,NA,0,NA,NA,0
143.460911,0.479,-50.498909,0.314,NA,NA,0,NA,NA,0,NA,NA,0,17.991,0.117,2,16.448,0.099,2,15.569,0.1,2,NA,NA,0,NA,NA,0
143.461578,0.589,-50.411451,0.413,NA,NA,0,NA,NA,0,NA,NA,0,17.64,0.07,4,16.626,0.032,4,16.552,0.303,1,NA,NA,0,NA,NA,0
143.461635,0.23,-50.506011,0.097,NA,NA,0,NA,NA,0,NA,NA,0,17.877,0.124,2,16.943,0.044,2,NA,NA,0,NA,NA,0,NA,NA,0
143.461734,0.386,-49.837695,0.288,16.217,0.045,6,17.299,0.155,6,NA,NA,0,16.846,0.073,6,15.883,0.044,6,15.524,0.081,5,NA,NA,0,NA,NA,0
143.461896,0.6,-49.917131,0.218,16.663,0.102,1,18.184,0.227,1,NA,NA,0,17.574,0.094,1,16.201,0.075,1,NA,NA,0,NA,NA,0,NA,NA,0
143.461951,0.542,-50.36388,0.358,15.554,0.057,6,16.629,0.044,6,NA,NA,0,16.052,0.043,6,15.23,0.133,6,14.846,0.083,6,NA,NA,0,NA,NA,0
143.462074,0.343,-50.209043,0.267,16.725,0.141,2,17.627,0.04,2,NA,NA,0,17.164,0.108,4,16.474,0.132,4,16.256,0.112,2,NA,NA,0,NA,NA,0
