radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
150.003722,0.22,-54.963151,0.236,12.517,0.019,3,12.893,0.059,3,NA,NA,0,12.673,0.026,9,12.457,0.026,9,12.367,0.025,9,12.367,0.088,7,NA,NA,0
150.003866,0.605,-54.738312,0.277,15.507,0.074,3,16.367,0.07,3,NA,NA,0,15.905,0.038,9,15.202,0.04,9,14.873,0.097,9,NA,NA,0,NA,NA,0
150.003968,0.053,-54.990797,0.239,NA,NA,0,NA,NA,0,NA,NA,0,18.514,0.396,1,17.405,0.299,1,NA,NA,0,NA,NA,0,NA,NA,0
150.004333,0.413,-55.256775,0,NA,NA,0,NA,NA,0,NA,NA,0,17.879,0.21,1,16.754,0.155,1,NA,NA,0,NA,NA,0,NA,NA,0
150.00437,0.343,-54.767949,0.356,NA,NA,0,NA,NA,0,NA,NA,0,17.232,0.099,5,15.945,0.074,5,15.25,0.109,5,NA,NA,0,NA,NA,0
150.004737,0.366,-55.426682,0.41,16.629,0.003,3,17.51,0.13,3,NA,NA,0,17.109,0.107,7,16.348,0.086,6,16.031,0.198,7,NA,NA,0,NA,NA,0
150.004757,0.262,-54.609773,0.316,12.737,0.022,4,14.013,0.046,4,NA,NA,0,13.354,0.028,10,12.318,0.024,9,11.811,0.031,10,11.558,0.057,8,NA,NA,0
150.004802,0.268,-54.854482,0.163,15.377,0.073,3,16.03,0.021,3,NA,NA,0,15.656,0.02,9,15.271,0.045,9,15.074,0.084,9,NA,NA,0,NA,NA,0
150.004892,0.238,-54.593988,0.236,16.608,0.119,1,17.166,0.128,1,NA,NA,0,16.789,0.108,7,16.143,0.047,7,15.849,0.075,6,NA,NA,0,NA,NA,0
150.005072,0.377,-55.083643,0.043,NA,NA,0,NA,NA,0,NA,NA,0,18.037,0.209,1,17.737,0.314,1,NA,NA,0,NA,NA,0,NA,NA,0
150.005156,0.436,-54.772698,0.821,14.889,0.004,2,16.677,0.053,2,NA,NA,0,15.755,0.066,6,14.277,0.037,6,13.462,0.029,5,13.006,0.058,5,NA,NA,0
150.00524,0.296,-55.286289,0.335,14.902,0.026,3,15.767,0.03,3,NA,NA,0,15.309,0.036,9,14.705,0.03,9,14.449,0.046,9,NA,NA,0,NA,NA,0
150.005594,0.655,-55.384254,0.431,16.513,0.012,2,17.907,0.034,2,NA,NA,0,17.231,0.097,7,16.004,0.062,7,15.477,0.073,7,NA,NA,0,NA,NA,0
