radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
186.043515,0.457,-62.318458,0.56,14.388,0.012,3,15.758,0.047,3,NA,NA,0,15.001,0.035,4,13.862,0.012,4,13.294,0.05,3,13.053,0.125,1,NA,NA,0
186.043648,0.394,-61.389642,0.364,NA,NA,0,NA,NA,0,NA,NA,0,17.516,0.016,2,15.925,0.006,2,NA,NA,0,NA,NA,0,NA,NA,0
186.043686,0.47,-61.688985,0.343,15.256,0.04,3,16.13,0.039,3,NA,NA,0,15.637,0.006,2,14.984,0.037,2,14.733,0.082,1,NA,NA,0,NA,NA,0
186.043803,0.266,-61.402699,0.347,16.564,0,2,17.836,0.061,2,NA,NA,0,17.079,0.067,4,16.107,0.128,4,15.855,0.062,2,NA,NA,0,NA,NA,0
186.043851,0.143,-61.716558,0.275,NA,NA,0,NA,NA,0,NA,NA,0,17.147,0.117,1,16.364,0.145,1,NA,NA,0,NA,NA,0,NA,NA,0
186.044085,0.906,-61.929485,0.244,13.518,0.023,4,13.97,0.016,4,NA,NA,0,13.688,0.016,4,13.418,0.03,4,13.324,0.048,4,13.279,0.155,1,NA,NA,0
186.04414,0.003,-61.767728,0.1,16.591,0.147,1,17.344,0.173,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
186.044297,0.273,-61.747046,0.049,NA,NA,0,NA,NA,0,NA,NA,0,17.579,0.19,1,16.535,0.191,1,15.822,0.29,1,NA,NA,0,NA,NA,0
186.044302,0.315,-62.173261,0.454,12.981,0.027,4,13.749,0.017,4,NA,NA,0,13.332,0.018,4,12.741,0.027,4,12.492,0.044,4,12.406,0.04,2,NA,NA,0
186.044391,0.224,-61.7001,0.133,11.769,0.031,4,11.936,0.015,4,NA,NA,0,11.816,0.069,4,11.823,0.012,4,11.923,0.048,4,12.027,0.011,2,NA,NA,0
186.044406,0.481,-61.634058,0.524,14.622,0.053,4,16.518,0.062,4,NA,NA,0,15.569,0.008,4,13.903,0.05,4,13.072,0.027,1,12.477,0.086,1,NA,NA,0
186.044453,0.266,-62.231015,0.025,NA,NA,0,NA,NA,0,NA,NA,0,17.731,0.177,1,17.119,0.237,1,NA,NA,0,NA,NA,0,NA,NA,0
186.044663,0.312,-61.575179,0.297,14.924,0.059,4,15.943,0.072,4,NA,NA,0,15.423,0.022,4,14.579,0.042,4,14.149,0.076,4,NA,NA,0,NA,NA,0
186.044866,0.671,-61.763636,0.438,14.196,0.028,4,15.027,0.018,4,NA,NA,0,14.571,0.033,4,13.958,0.04,4,13.692,0.095,4,13.803,0.251,1,NA,NA,0
186.044933,0.229,-61.628945,0.233,13.796,0.056,4,16.079,0.083,4,NA,NA,0,14.904,0.038,4,12.973,0.032,4,11.922,0.033,4,11.43,0.017,2,NA,NA,0
186.045354,0.271,-61.519856,0.112,NA,NA,0,NA,NA,0,NA,NA,0,17.597,0.218,1,16.304,0.153,1,16.184,0.319,1,NA,NA,0,NA,NA,0
186.045412,0.244,-61.948488,0.199,14.911,0.046,4,15.866,0.065,4,NA,NA,0,15.39,0.042,4,14.527,0.031,4,14.149,0.07,4,NA,NA,0,NA,NA,0
