ID,x,y,Gmag,e_Gmag,BV,UB,BVerr,UBerr,Plx,pmRA,pmDE,e_Plx,e_pmRA,e_pmDE,MP,sel
811,792.483,1292.94,17.5148,0.0012,1.248,nan,0.035,nan,0.2295,-5.225,2.393,0.0863,0.158,0.155,0.54,-1
813,1148.77,1751.89,17.7386,0.0012,1.02,nan,0.032,nan,0.3999,-5.903,2.969,0.0962,0.185,0.164,0.53,-1
818,1169.38,1769.11,17.5045,0.001,1.162,nan,0.039,nan,0.1022,-4.495,2.3,0.0832,0.166,0.154,0.53,-1
824,1450.28,1144.12,17.6979,0.0012,0.926,nan,0.032,nan,0.5422,-16.996,9.634,0.0943,0.176,0.167,0.54,-1
826,745.657,1379.18,17.7734,0.0013,0.957,nan,0.031,nan,0.5004,-3.264,1.081,0.0958,0.175,0.16,0.54,-1
827,1396.81,1684.11,17.7059,0.0013,1.024,nan,0.036,nan,0.361,-9.089,2.173,0.1014,0.185,0.169,0.53,-1
838,1340.6,1150.76,17.672,0.0012,1.046,nan,0.036,nan,0.4562,-8.626,4.685,0.1088,0.196,0.182,0.53,-1
842,831.459,1254.39,17.8028,0.0016,1.022,nan,0.034,nan,0.4305,-5.892,3.021,0.1009,0.178,0.164,0.53,-1
854,1455.02,1554.49,17.6877,0.0012,1.12,nan,0.042,nan,0.8563,-7.106,3.511,0.0936,0.169,0.155,0.54,-1
859,870.187,1580.55,17.7877,0.0016,1.044,nan,0.036,nan,0.4062,-6.284,5.699,0.176,0.335,0.305,0.48,-1
860,1018.47,1003.55,16.5954,0.0009,2.497,nan,0.099,nan,0.0743,-4.289,-0.157,0.0745,0.146,0.128,0.55,-1
866,987.012,1235.57,17.8791,0.0035,1.036,nan,0.039,nan,0.2782,-6.605,3.385,0.1621,0.28,0.249,0.64,-1
869,1104.4,1403.03,17.9254,0.0017,0.954,nan,0.039,nan,0.0827,-8.516,3.441,0.117,0.217,0.198,0.51,-1
870,682.937,1470.56,17.8797,0.0015,0.934,nan,0.04,nan,0.3265,-7.911,2.892,0.1027,0.192,0.169,0.52,-1
882,1204.36,1424.28,17.9101,0.0014,1.023,nan,0.038,nan,0.7054,-5.936,2.904,0.1101,0.201,0.184,0.52,-1
883,988.084,1456.76,17.6217,0.0011,1.175,nan,0.041,nan,0.0195,-4.119,2.651,0.0904,0.17,0.157,0.53,-1
885,1228.17,883.481,17.8903,0.0014,1.088,nan,0.052,nan,0.3081,-5.326,2.964,0.1193,0.202,0.192,0.64,-1
889,1216.72,1583.69,17.6984,0.0064,1.126,nan,0.042,nan,0.3378,-3.422,0.92,0.0996,0.186,0.172,0.54,-1
890,1278.47,1351.04,17.0043,0.0016,2.19,nan,0.082,nan,0.0098,-8.641,3.974,0.0851,0.148,0.125,0.56,-1
901,718.124,1041.89,17.8565,0.0013,0.985,nan,0.039,nan,0.2478,-8.92,4.759,0.1001,0.188,0.173,0.52,-1
903,1276.66,1457.15,17.6734,0.0013,1.204,nan,0.049,nan,-0.0056,-5.054,2.752,0.1044,0.184,0.174,0.54,-1
908,1572.36,1223.44,17.9557,0.0014,0.934,nan,0.037,nan,0.5507,-4.908,3.97,0.1149,0.205,0.189,0.51,-1
909,1112.22,1782.19,17.7843,0.0012,1.103,nan,0.042,nan,0.2454,-5.316,3.332,0.0981,0.18,0.169,0.53,-1
932,1542.65,1100.68,18.0266,0.0021,1.053,nan,0.054,nan,0.5753,-4.15,3.203,0.1298,0.255,0.218,0.49,-1
938,1432.13,1071.08,17.2183,0.001,2.145,nan,0.078,nan,0.153,-6.703,3.159,0.0728,0.136,0.126,0.55,-1
943,1041.73,1661.6,17.2426,0.0009,2.034,nan,0.081,nan,0.0419,-5.885,4.661,0.0761,0.141,0.131,0.56,-1
946,1587.89,1391.58,17.5847,0.0011,1.447,nan,0.05,nan,-0.01,-4.457,2.859,0.0949,0.172,0.165,0.53,-1
