ID,x,y,V,Verr,BV,BVerr,UB,UBerr,VR,VRerr,VI,VIerr
1056,1279.97,43.549,18.728,0.031,1.208,0.053,99,99,0.774,0.036,1.471,0.044
1057,1525,1437.96,18.729,0.027,1.316,0.063,99,99,0.893,0.034,1.594,0.036
1058,487.608,793.926,18.73,0.033,1.389,0.069,99,99,0.948,0.039,1.798,0.041
1059,140.063,1999.57,18.73,0.053,1.428,0.082,99,99,0.753,0.058,1.631,0.062
1060,1032.96,868.176,18.732,0.032,1.119,0.055,99,99,0.744,0.041,1.419,0.043
1061,1818.58,1624.43,18.733,0.027,1.059,0.049,99,99,0.708,0.033,1.284,0.038
1062,1031.26,1323.48,18.738,0.032,1.142,0.052,99,99,0.758,0.038,1.481,0.041
1063,1305.03,928.734,18.74,0.031,1.283,0.06,99,99,0.909,0.036,1.661,0.04
1064,1138.71,1588.51,18.741,0.032,1.607,0.068,99,99,1.024,0.035,1.938,0.039
1065,796.036,1231.34,18.743,0.027,1.344,0.062,99,99,0.796,0.031,1.635,0.038
1066,131.299,1250.28,18.744,0.028,1.187,0.051,99,99,0.825,0.033,1.535,0.039
1067,1078.02,466.138,18.745,0.05,1.556,0.084,99,99,0.774,0.055,1.572,0.059
1068,942.039,746.656,18.745,0.031,1.094,0.058,99,99,0.727,0.038,1.366,0.046
1069,1351.92,1717.47,18.747,0.031,1.408,0.063,99,99,0.898,0.037,1.646,0.039
1070,1941.1,1179.52,18.749,0.033,1.208,0.059,99,99,0.824,0.037,1.462,0.045
1071,582.207,1480.55,18.75,0.03,1.171,0.055,99,99,0.782,0.035,1.488,0.038
1072,471.608,305.904,18.751,0.033,1.243,0.055,99,99,0.695,0.038,1.335,0.046
1073,1310.47,1297.69,18.752,0.025,1.381,0.062,99,99,0.903,0.032,1.74,0.034
1074,1493.91,1105.54,18.753,0.026,1.139,0.054,99,99,0.79,0.032,1.463,0.039
1075,1089.41,60.362,18.755,0.031,1.397,0.058,99,99,0.997,0.038,1.92,0.042
1076,1973.23,32.079,18.758,0.032,0.865,0.07,99,99,0.99,0.04,1.86,0.051
1077,321.092,223.557,18.763,0.036,1.062,0.068,99,99,0.709,0.043,1.344,0.052
1078,1595.42,779.339,18.765,0.03,1.27,0.064,99,99,0.791,0.037,1.438,0.041
1080,1447.81,484.404,18.766,0.038,1.4,0.069,99,99,0.853,0.044,1.693,0.048
1081,1044.75,1123.71,18.767,0.025,1.341,0.064,99,99,0.878,0.032,1.7,0.033
1082,1404.88,136.612,18.768,0.03,1.39,0.06,99,99,0.854,0.036,1.596,0.043
1083,1698.65,1627.82,18.768,0.031,1.142,0.061,99,99,0.723,0.036,1.391,0.046
1084,1830.06,1250.43,18.771,0.035,1.179,0.059,99,99,0.795,0.039,1.54,0.045
1085,91.225,1485.66,18.771,0.034,1.269,0.057,99,99,0.763,0.039,1.557,0.043
1086,1713.65,1978.56,18.771,0.028,1.231,0.055,99,99,0.686,0.035,1.366,0.042
1087,327.013,695.547,18.774,0.028,1.472,0.071,99,99,0.884,0.034,1.686,0.037
1088,44.389,658.62,18.777,0.035,1.231,0.06,99,99,0.812,0.044,1.503,0.046
1089,1552.31,1006.87,18.779,0.027,0.957,0.049,99,99,0.692,0.034,1.331,0.039
1090,291.141,607.619,18.782,0.035,1.379,0.077,99,99,1,0.039,1.952,0.042
1091,1591.31,965.593,18.784,0.034,1.08,0.058,99,99,0.766,0.04,1.387,0.047
1092,1821.25,234.427,18.79,0.043,1.422,0.081,99,99,0.892,0.048,1.703,0.052
1093,1004.55,1404.43,18.793,0.03,1.163,0.056,99,99,0.877,0.035,1.562,0.044
1095,1101.36,1494.69,18.801,0.036,1.556,0.083,99,99,0.922,0.039,1.757,0.045
1096,48.771,1233.05,18.802,0.03,1.452,0.064,99,99,0.945,0.035,1.778,0.039
