ID,x,y,Gmag,e_Gmag,VI,BV,UB,VIerr,BVerr,UBerr,Plx,pmRA,pmDE,e_Plx,e_pmRA,e_pmDE,MP,sel
457,1018.78,1046.98,17.443,0.0008,0.918,0.742,nan,0.021,0.02,nan,0.1227,-5.736,2.406,0.0959,0.124,0.094,0.39,-1
458,1117.87,726.663,17.3564,0.0008,1.047,0.982,nan,0.023,0.025,nan,0.2728,-9.176,1.139,0.09,0.111,0.089,0.15,-1
463,1302.01,921.757,17.4116,0.0008,0.929,0.803,nan,0.023,0.03,nan,0.151,-6.417,1.344,0.0933,0.118,0.095,0.62,-1
468,1101.3,828.027,17.3124,0.0008,1.176,1.013,nan,0.023,0.025,nan,0.088,-7.492,1.271,0.0969,0.119,0.094,0.69,-1
473,675.452,1027.65,17.5521,0.0013,1.082,0.847,nan,0.04,0.022,nan,0.3874,-8.36,1.249,0.1209,0.137,0.116,0.27,-1
482,971.836,1108.68,17.4947,0.0008,1.011,0.919,nan,0.021,0.023,nan,0.431,-7.119,0.765,0.0949,0.124,0.095,0.78,-1
487,1196.24,718.698,17.516,0.0008,0.951,0.85,nan,0.027,0.028,nan,0.4803,-4.728,-1.749,0.0982,0.131,0.105,0.78,-1
509,1121.66,1000.89,17.7012,0.0009,0.783,0.608,nan,0.03,0.022,nan,0.2536,-7.45,2.307,0.1283,0.154,0.129,0.28,-1
533,810.73,756.1,17.4558,0.0009,1.316,1.17,nan,0.026,0.034,nan,0.825,-14.945,1.946,0.0956,0.119,0.094,0.0,-1
540,894.415,824.157,17.7623,0.0013,0.811,0.652,nan,0.042,0.035,nan,0.7866,-6.328,-0.205,0.1242,0.154,0.114,0.77,-1
541,876.538,1280.72,17.6812,0.001,0.995,0.839,nan,0.024,0.03,nan,0.4875,-6.882,0.737,0.1087,0.141,0.122,0.78,-1
564,947.311,1065.49,17.8525,0.0011,0.833,0.779,nan,0.05,0.049,nan,0.3542,-1.206,-0.003,0.1255,0.152,0.125,0.15,-1
570,735.394,872.804,17.7884,0.0032,1.029,0.856,nan,0.03,0.037,nan,-0.8822,-6.677,1.359,0.4292,0.574,0.411,0.54,-1
576,904.616,967.987,17.6982,0.001,0.996,0.895,nan,0.032,0.028,nan,0.4513,-4.753,-2.997,0.116,0.148,0.11,0.79,-1
577,1143.42,1169.58,17.7922,0.001,0.936,0.777,nan,0.028,0.028,nan,0.257,-6.547,1.197,0.1135,0.146,0.112,0.63,-1
585,1105.49,1037.22,17.8409,0.0011,0.932,0.747,nan,0.027,0.027,nan,0.1101,-6.189,0.469,0.1196,0.161,0.126,0.8,-1
588,1053.24,960.604,17.7565,0.0009,0.974,0.874,nan,0.033,0.041,nan,0.4468,-1.661,-1.565,0.1206,0.152,0.118,0.59,-1
594,664.278,885.902,17.759,0.001,0.974,0.322,nan,0.032,0.066,nan,0.196,-8.71,2.601,0.1231,0.158,0.118,0.02,-1
596,955.935,715.35,17.8186,0.001,0.95,0.715,nan,0.032,0.034,nan,0.0348,-7.229,2.083,0.1208,0.152,0.12,0.42,-1
600,986.815,1294.98,17.7785,0.0011,1.095,0.943,nan,0.028,0.032,nan,0.5047,-5.4,-4.91,0.1133,0.149,0.116,0.3,-1
601,944.508,1302.92,17.7687,0.001,1.082,0.994,nan,0.029,0.032,nan,0.279,-10.939,2.153,0.1119,0.149,0.12,0.0,-1
608,1104.28,1243.65,17.7862,0.001,1.178,0.976,nan,0.028,0.031,nan,0.5398,-6.557,-3.422,0.1107,0.141,0.115,0.68,-1
622,1238.79,947.414,17.9045,0.0011,0.861,0.673,nan,0.037,0.029,nan,0.095,-1.365,4.377,0.1239,0.155,0.126,0.37,-1
632,861.842,791.388,17.906,0.001,0.992,0.922,nan,0.032,0.033,nan,-0.0502,-8.218,0.397,0.1254,0.156,0.123,0.55,-1
639,1035.08,701.052,17.9233,0.001,0.975,0.94,nan,0.042,0.042,nan,0.1411,-5.434,1.089,0.1294,0.167,0.126,0.76,-1
643,626.075,832.672,17.9636,0.0011,0.903,0.883,nan,0.035,0.039,nan,-0.1217,-9.76,-0.55,0.1303,0.17,0.132,0.27,-1
650,1111.73,1123.52,17.8765,0.001,1.156,1.057,nan,0.028,0.038,nan,0.1243,-6.025,0.422,0.1278,0.16,0.126,0.8,-1
665,757.435,899.402,17.7342,0.0009,1.45,1.15,nan,0.044,0.046,nan,0.3531,-8.414,-3.625,0.122,0.155,0.119,0.27,-1
669,795.209,1123.48,18.0495,0.0012,0.936,0.761,nan,0.033,0.035,nan,0.3395,-6.891,2.57,0.1393,0.181,0.136,0.41,-1
