ID,x,y,Gmag,e_Gmag,VI,BV,UB,VIerr,BVerr,UBerr,Plx,pmRA,pmDE,e_Plx,e_pmRA,e_pmDE,MP,sel
893,2436.31,1484.64,15.5405,0.0005,0.899,0.711,-0.028,0.004,0.007,0.024,0.4325,-12.793,0.886,0.0333,0.053,0.052,0.49,1
4013,2758.16,2129.84,17.8331,0.0022,1.565,1.228,0.523,0.005,0.007,0.029,-0.2943,-6.083,0.671,0.1856,0.312,0.281,0.483,1
1597,2298.72,1439.25,16.2017,0.0009,1.264,0.972,0.753,0.006,0.005,0.028,0.0704,-5.203,1.249,0.0485,0.081,0.075,0.481,1
3019,2114.75,2127.41,17.3482,0.001,1.179,1.003,0.484,0.005,0.004,0.011,0.4431,-8.084,0.613,0.0869,0.135,0.128,0.471,1
2313,2640.33,1586.61,16.9075,0.0009,1.041,0.899,0.283,0.004,0.003,0.021,0.4374,-10.008,2.011,0.0686,0.13,0.108,0.47,1
1318,2892.32,1819.35,15.9623,0.0006,1.16,0.923,0.349,0.003,0.003,0.006,0.2967,-9.478,3.021,0.0401,0.067,0.066,0.468,1
2890,2906.21,1529.41,17.2832,0.001,1.194,0.933,0.259,0.004,0.004,0.031,0.2592,-5.942,2.707,0.0759,0.131,0.13,0.462,1
1645,2132.1,1539.23,16.3679,0.0009,0.954,0.747,0.154,0.004,0.003,0.008,0.4067,-8.101,2.855,0.0503,0.092,0.077,0.456,1
4450,2622.22,1949.2,18.1412,0.0018,1.475,1.182,0.452,0.007,0.009,0.036,0.2971,-5.481,0.885,0.1397,0.25,0.225,0.446,1
2597,2577.41,2219.07,17.1195,0.0009,0.986,0.855,0.3,0.004,0.004,0.01,0.3657,-9.743,1.822,0.0739,0.126,0.119,0.439,1
2471,2422.39,1747.26,16.9689,0.0011,1.098,0.932,0.393,0.004,0.004,0.007,0.4677,-7.818,0.942,0.0683,0.114,0.106,0.428,1
2000,2059.02,1923.38,16.6153,0.0008,1.064,0.813,0.497,0.004,0.003,0.009,0.2948,-5.385,1.055,0.0618,0.105,0.087,0.41,1
2059,2442.12,2201.31,16.6752,0.001,1.09,0.963,0.487,0.004,0.004,0.01,0.3259,-5.692,0.621,0.07,0.123,0.102,0.405,1
2228,2378.84,1752.02,16.8257,0.001,1.03,0.865,0.272,0.004,0.005,0.01,0.3909,-5.551,0.664,0.0755,0.136,0.111,0.392,1
3492,3015.04,1693.43,17.6749,0.0011,1.215,0.973,0.354,0.005,0.005,0.021,0.386,-3.666,2.527,0.0992,0.164,0.17,0.38,1
4483,2782.7,1947.63,18.4193,0.0073,1.52,1.162,0.415,0.021,0.018,0.032,-2.6789,-10.851,-11.104,0.4628,0.847,0.751,0.376,1
4479,2133.88,1923.35,18.2103,0.0019,1.363,1.073,0.51,0.006,0.009,0.026,0.3557,-8.985,0.534,0.1502,0.243,0.211,0.371,1
599,2411.28,2160.27,14.9752,0.0004,0.966,0.851,0.331,0.003,0.002,0.004,0.7264,-17.983,4.154,0.0294,0.045,0.043,0.354,1
4657,2420.09,2257.95,18.4479,0.0018,1.227,1.053,0.706,0.013,0.015,0.036,0.347,-10.537,6.516,0.1864,0.317,0.25,0.351,1
